timestamp,keyword,source,video_url,commenter_name,gemini_summary,comment_text,comment_date
2025-10-05 12:18:26,Webinar Wujudkan Indonesia Damai,YouTube,https://www.youtube.com/watch?v=641e4GYi6DU,@irmaindriani362,Content too short or invalid.,😍🤩💝🌹🙏🤝👍👍🇲🇨,2022-07-31T10:23:54Z
2025-10-05 12:18:26,Webinar Wujudkan Indonesia Damai,YouTube,https://www.youtube.com/watch?v=641e4GYi6DU,@gussholeh1586,Error: Failed to process after multiple retries.,"LINK YOUTUBE WEBINAR 
*Sambut Tahun Baru Islam 1444 Hijriah, Mewujudkan Islam Damai Penuh Toleransi & Mengayomi Semua Umat Beragama di Indonesia*
https://youtu.be/641e4GYi6DU
Sabtu, 30 Juli 2022
----------
•Potong Tumpeng 1 Suro & Doa Awal Tahun 1 Muharram 1444H
https://youtu.be/aMBjFunKacY
•Kesimpulan & Harapan
https://youtu.be/F7mVc7nciyE
•Album Lagu Cover Foto Peserta & Narasumber
https://youtu.be/8O_hyhPCcco
https://youtu.be/8BxeExqUUTQ
https://youtu.be/2YaNiEgHXc8
https://youtu.be/WjyDmvsry8o
----------
Narasumber: KH Mukhlason Jalaluddin, Lc, MA. Rois Syuriah PCI NU Mesir || KH M Tauhid, M.Si Ketum Thoriqoh JATMI, Pengasuh PP Al-Madani Semarang || Dr. (C) Bahar Forwowan, SH, MH Anggota MABINAS PB PMII, Ketum DPP Pemuda Demokrat Indonesia || Sambutan: Gus Sholeh Mz Koord AgamaCinta ||Puisi & Doa: Habib Ja'far Shadiq || Moderator: Muhardi Karijanto, SE, MM Sekjen NINJA
----------
#TahunBaru1444Hijriah #AC_Edisi76 #AgamaCinta #BeragamalahDenganCinta #ToleransiYes #IntoleransiNo",2022-07-30T23:00:24Z
2025-10-05 12:18:26,Webinar Wujudkan Indonesia Damai,YouTube,https://www.youtube.com/watch?v=641e4GYi6DU,@JamesWindsorUK,Semoga Anda selalu dalam keadaan baik.,Kullu 'Aamin Wa Antum Bi Khair.,2022-07-30T16:44:15Z
2025-10-05 12:18:26,Webinar Wujudkan Indonesia Damai,YouTube,https://www.youtube.com/watch?v=641e4GYi6DU,@agamacinta2719,"Mohon dibagikan untuk Indonesia Damai. 
Terima kasih.","Mangga dishare untuk Indonesia Damai
Hatur nuhun",2022-07-30T14:40:26Z
2025-10-05 12:18:26,Webinar Wujudkan Indonesia Damai,YouTube,https://www.youtube.com/watch?v=641e4GYi6DU,@agamacinta2719,Error: Failed to process after multiple retries.,"LINK YOUTUBE WEBINAR 
*Sambut Tahun Baru Islam 1444 Hijriah, Mewujudkan Islam Damai Penuh Toleransi & Mengayomi Semua Umat Beragama di Indonesia*
https://youtu.be/641e4GYi6DU
Sabtu, 30 Juli 2022
----------
•Potong Tumpeng 1 Suro & Doa Awal Tahun 1 Muharram 1444H
https://youtu.be/aMBjFunKacY
•Kesimpulan & Harapan
https://youtu.be/F7mVc7nciyE
•Album Lagu Cover Foto Peserta & Narasumber
https://youtu.be/8O_hyhPCcco
https://youtu.be/8BxeExqUUTQ
https://youtu.be/2YaNiEgHXc8
https://youtu.be/WjyDmvsry8o
----------
Narasumber: KH Mukhlason Jalaluddin, Lc, MA. Rois Syuriah PCI NU Mesir || KH M Tauhid, M.Si Ketum Thoriqoh JATMI, Pengasuh PP Al-Madani Semarang || Dr. (C) Bahar Forwowan, SH, MH Anggota MABINAS PB PMII, Ketum DPP Pemuda Demokrat Indonesia || Sambutan: Gus Sholeh Mz Koord AgamaCinta ||Puisi & Doa: Habib Ja'far Shadiq || Moderator: Muhardi Karijanto, SE, MM Sekjen NINJA
----------
#TahunBaru1444Hijriah #AC_Edisi76 #AgamaCinta #BeragamalahDenganCinta #ToleransiYes #IntoleransiNo",2022-07-30T14:39:41Z
2025-10-05 12:18:27,Webinar Wujudkan Indonesia Damai,YouTube,https://www.youtube.com/watch?v=DeFo-uoeK9I,@IGNSuryaSudharmadi,"Sering adakan acara seperti ini, agar negara ini semakin jaya.","Seringlah ngadain acara model beginian , biar negeri ini makin berjaya",2020-10-18T04:30:56Z
2025-10-05 12:18:27,Webinar Wujudkan Indonesia Damai,YouTube,https://www.youtube.com/watch?v=9n0j5l5w44c,@kutsiyah02official32,Sertifikatnya ini di mana?,Sertufikatnya ini kmn?,2025-10-03T03:04:46Z
2025-10-05 12:18:27,Webinar Wujudkan Indonesia Damai,YouTube,https://www.youtube.com/watch?v=9n0j5l5w44c,@nurikahesri5661,"Sekolah Dasar Negeri Gerit 02 Pati, mengikuti.","SDN Gerit 02 Pati,mengikuti .",2025-10-02T02:37:13Z
2025-10-05 12:18:27,Webinar Wujudkan Indonesia Damai,YouTube,https://www.youtube.com/watch?v=9n0j5l5w44c,@RahiminRahimin-q8q,Saya hadir untuk menyimak.,Hadir menyimak,2025-10-01T07:42:27Z
2025-10-05 12:18:27,Webinar Wujudkan Indonesia Damai,YouTube,https://www.youtube.com/watch?v=9n0j5l5w44c,@yulisuharmin7999,SDN 09 Pontianak hadir.,SDN 09 Pontianak Hadiiirrrr,2025-10-01T03:45:32Z
2025-10-05 12:18:27,Webinar Wujudkan Indonesia Damai,YouTube,https://www.youtube.com/watch?v=9n0j5l5w44c,@ariesulistyorini3590,Semoga diberkahi dan bermanfaat dengan ilmu yang telah disampaikan.,Diberikan berkah manfaat atas ilmu yang disampaikan,2025-10-01T02:17:03Z
2025-10-05 12:18:27,Webinar Wujudkan Indonesia Damai,YouTube,https://www.youtube.com/watch?v=9n0j5l5w44c,@yuniatihulu8672,"Mohon dibagikan tautan sertifikatnya, Bapak.",Tolong di share Link Sertifikatnya Pak🙏🙏,2025-10-01T01:59:08Z
2025-10-05 12:18:27,Webinar Wujudkan Indonesia Damai,YouTube,https://www.youtube.com/watch?v=9n0j5l5w44c,@yuniatihulu8672,"Saya hadir di SD Negeri 071168 Laehuwa, Kecamatan Alasa Talumuzoi, Kabupaten Nias Utara.",KASEK SDN 071168 LAEHUWA KEC. ALASA TALUMUZOI KAB. NIAS UTARA. Hadir🙏,2025-10-01T01:39:33Z
2025-10-05 12:18:27,Webinar Wujudkan Indonesia Damai,YouTube,https://www.youtube.com/watch?v=9n0j5l5w44c,@Kusmiyadi-g6c,"Kusmiyadi, Sekolah Dasar Tamanan 2, Kecamatan Tamanan, Kabupaten Bondowoso. Terima kasih.",Kusmiyadi SDN TAMANAN 2 KEC TAMANAN KAB BONDOWOSO  Terimakasih,2025-09-30T08:03:53Z
2025-10-05 12:18:27,Webinar Wujudkan Indonesia Damai,YouTube,https://www.youtube.com/watch?v=9n0j5l5w44c,@sitihodijahs.pd_sdnkarawac9199,Siti Hodijah dari SDN Karawaci 1 hadir dan menyimak.,Siti Hodijah_SDN Karawaci 1 hadir dan menyimak,2025-09-30T07:45:46Z
2025-10-05 12:18:27,Webinar Wujudkan Indonesia Damai,YouTube,https://www.youtube.com/watch?v=9n0j5l5w44c,@TITISROY,Saya hadir untuk mendengarkan.,hadir menyimak,2025-09-30T07:43:14Z
2025-10-05 12:18:27,Webinar Wujudkan Indonesia Damai,YouTube,https://www.youtube.com/watch?v=9n0j5l5w44c,@pujihandayani3374,Content too short or invalid.,Hadir,2025-09-30T07:29:06Z
2025-10-05 12:18:27,Webinar Wujudkan Indonesia Damai,YouTube,https://www.youtube.com/watch?v=9n0j5l5w44c,@ninyomansudiarni491,Mana tautan daftar hadirnya?,mana link  daftra hadirnya,2025-09-30T07:08:53Z
2025-10-05 12:18:27,Webinar Wujudkan Indonesia Damai,YouTube,https://www.youtube.com/watch?v=9n0j5l5w44c,@YuniPurwanti-b7m,Yuni Purwanti dari Sekolah Dasar Negeri 009 Kayu Kapur,Yuni Purwanti SDN 009 kayu kapur,2025-09-30T07:04:04Z
2025-10-05 12:18:27,Webinar Wujudkan Indonesia Damai,YouTube,https://www.youtube.com/watch?v=9n0j5l5w44c,@ninyomansudiarni491,"SDN 2 Kusanba Ni Nyoman Sudiarni, S.Pd., hadir menyimak.","SDN 2 KUSAMBA_NI NYOMAN SUDIARNI, S. Pd, SD_HADIR MENYIMAK",2025-09-30T06:57:55Z
2025-10-05 12:18:27,Webinar Wujudkan Indonesia Damai,YouTube,https://www.youtube.com/watch?v=9n0j5l5w44c,@ibuhartini4733,Hartini UPT SDN 2 Parerejo,HARTINI UPT SDN 2 PAREREJO,2025-09-30T06:37:02Z
2025-10-05 12:18:27,Webinar Wujudkan Indonesia Damai,YouTube,https://www.youtube.com/watch?v=9n0j5l5w44c,@LEVIARDIYANTI,Sekolah Menengah Pertama An-Nuur Pasaleman hadir.,SMP An-Nuur Pasaleman hadir,2025-09-30T04:38:34Z
2025-10-05 12:18:27,Webinar Wujudkan Indonesia Damai,YouTube,https://www.youtube.com/watch?v=9n0j5l5w44c,@RahmaWati-c1v,Hadir di SDN 1 Bareulat.,Hadir SDN 1 BAREJULAT,2025-09-30T03:46:54Z
2025-10-05 12:18:27,Webinar Wujudkan Indonesia Damai,YouTube,https://www.youtube.com/watch?v=9n0j5l5w44c,@DONNYKUSWARA-z6j,Content too short or invalid.,mantul,2025-09-30T02:41:27Z
2025-10-05 12:18:27,Webinar Wujudkan Indonesia Damai,YouTube,https://www.youtube.com/watch?v=9n0j5l5w44c,@teguhwidodo3580,Sekolah Dasar Negeri 99 Rejang Lebong hadir.,SDN 99 REJANG LEBONG HADIR,2025-09-30T02:03:13Z
2025-10-05 12:18:27,Webinar Wujudkan Indonesia Damai,YouTube,https://www.youtube.com/watch?v=9n0j5l5w44c,@SDN10TanahLapangSawahlunto,"Sekolah Dasar Negeri 10 Tanah Lapang, Mardianis, S.Pd., Yona Silvita, Hanny Yasmina Faiha","SDN 10 Tanah Lapang_Mardianis,S.Pd_Yona Silvita_Hanny Yasmina Faiha",2025-09-30T01:41:41Z
2025-10-05 12:18:27,Webinar Wujudkan Indonesia Damai,YouTube,https://www.youtube.com/watch?v=9n0j5l5w44c,@SDN10TanahLapangSawahlunto,"Sekolah Dasar Negeri 10 Tanah Lapang Kota Sawahlunto, Sumatera Barat hadir.","SDN 10 Tanah Lapang Kota Sawahlunto Sumatera Barat HADIRRR
",2025-09-30T01:35:41Z
2025-10-05 12:18:27,Webinar Wujudkan Indonesia Damai,YouTube,https://www.youtube.com/watch?v=9n0j5l5w44c,@HabsahRumahorbo20,"Habsah Rumahorbo, S.Pd., UPT. SDN. 066043 Medan Helvetia","Habsah Rumahorbo, S. Pd UPT. SDN. 066043 Medan Helvetia",2025-09-30T01:24:14Z
2025-10-05 12:18:27,Webinar Wujudkan Indonesia Damai,YouTube,https://www.youtube.com/watch?v=9n0j5l5w44c,@nurmaladewisusilawati1654,Sekolah Dasar Negeri 1 Barejulat hadir.,SDN 1 Barejulat hadir,2025-09-30T00:55:29Z
2025-10-05 12:18:27,Webinar Wujudkan Indonesia Damai,YouTube,https://www.youtube.com/watch?v=9n0j5l5w44c,@baiqmunawarah-i7f,"Baiq Munawarah dari Sekolah Dasar Negeri 1 Barejulat hadir, memberikan penjelasan yang umum tentang digitalisasi di sekolah.","Baiq Munawarah dari SD Negeri 1 Barejulat hadir, pemaparan yang biasa terkait digitalisasi di sekolah",2025-09-30T00:45:02Z
2025-10-05 12:18:27,Webinar Wujudkan Indonesia Damai,YouTube,https://www.youtube.com/watch?v=9n0j5l5w44c,@maisarahsairah6166,"Maisarah, Sekolah Dasar Negeri 8 Lutar Tawar.","Maisarah, SD negri 8 lut tawar",2025-09-30T00:17:21Z
2025-10-05 12:18:27,Webinar Wujudkan Indonesia Damai,YouTube,https://www.youtube.com/watch?v=9n0j5l5w44c,@SalasiahSpd12,"Salahiyah, sekolah dasar negeri 8 Lutar Utara","Salasiah, sd negeri 8 lut tawar",2025-09-30T00:13:12Z
2025-10-05 12:18:27,Webinar Wujudkan Indonesia Damai,YouTube,https://www.youtube.com/watch?v=9n0j5l5w44c,@SriKandiMariyam-sdn1barejulat,Pemaparan yang luar biasa.,pemaparan yg luar biasa,2025-09-29T23:42:00Z
2025-10-05 12:18:27,Webinar Wujudkan Indonesia Damai,YouTube,https://www.youtube.com/watch?v=9n0j5l5w44c,@mujionomujiono8293,Terima kasih.,Terima kasih,2025-09-29T22:31:39Z
2025-10-05 12:18:27,Webinar Wujudkan Indonesia Damai,YouTube,https://www.youtube.com/watch?v=9n0j5l5w44c,@ibnusikumbangchannel4312,SDN 14 Pauh Timur Kota Pariaman Sumatera Barat hadir.,SDN 14 Pauh Timur Kota Pariaman Sumatera Barat hadirrr,2025-09-29T16:05:51Z
2025-10-05 12:18:27,Webinar Wujudkan Indonesia Damai,YouTube,https://www.youtube.com/watch?v=9n0j5l5w44c,@EmanuelGea-bo9ry,Terima kasih banyak.,Terima kasih banyak,2025-09-29T15:29:11Z
2025-10-05 12:18:27,Webinar Wujudkan Indonesia Damai,YouTube,https://www.youtube.com/watch?v=9n0j5l5w44c,@EmanuelGea-bo9ry,"Mantap, sungguh luar biasa.",Mantap luar biasa bagusnya.,2025-09-29T15:06:29Z
2025-10-05 12:18:27,Webinar Wujudkan Indonesia Damai,YouTube,https://www.youtube.com/watch?v=9n0j5l5w44c,@yantisuryati9154,"Hadir untuk bersimak, Yanti Suryati, SD Negeri 1 Dunguswiru.","Hadir menyimak, yanti suryati, sdn 1 Dunguswiru",2025-09-29T15:02:08Z
2025-10-05 12:18:27,Webinar Wujudkan Indonesia Damai,YouTube,https://www.youtube.com/watch?v=9n0j5l5w44c,@milakarmelia9693,"Karmila Abbas, S.Pd., SD Negeri 16 Atinggola Gorontalo Utara hadir untuk menyimak.","KARMILA ABBAS, S.Pd, SD Negeri 16 Atinggola Gorontalo Utara, 
Hadir Menyimak",2025-09-29T14:42:44Z
2025-10-05 12:18:27,Webinar Wujudkan Indonesia Damai,YouTube,https://www.youtube.com/watch?v=9n0j5l5w44c,@amakbaidar6408,"Sekolah Dasar Negeri 03 Enam Lingkung Padang Pariaman, maaf terlambat mengikuti karena sedang ada acara. Terima kasih atas informasinya, narasumber.",SDN 03 Enam Lingkung Padang Pariaman maaf terlambat mengikuti karena ada acara .Terima kasih infonya Nara sumber🙏,2025-09-29T14:41:47Z
2025-10-05 12:18:27,Webinar Wujudkan Indonesia Damai,YouTube,https://www.youtube.com/watch?v=9n0j5l5w44c,@sitirohaini7122,Siti Rohaini sedang mendengarkan.,Siti Rohaini menyimak,2025-09-29T14:28:36Z
2025-10-05 12:18:27,Webinar Wujudkan Indonesia Damai,YouTube,https://www.youtube.com/watch?v=9n0j5l5w44c,@yosomargoutomo1152,SDN 163 Pekanbaru hadir.,SDN 163 Pekanbaru Hadir,2025-09-29T14:27:25Z
2025-10-05 12:18:27,Webinar Wujudkan Indonesia Damai,YouTube,https://www.youtube.com/watch?v=9n0j5l5w44c,@Cucuntanjiah,Saya hadir untuk mendengarkan.,hadir menyimak,2025-09-29T14:10:46Z
2025-10-05 12:18:27,Webinar Wujudkan Indonesia Damai,YouTube,https://www.youtube.com/watch?v=9n0j5l5w44c,@imasrosilawati7169,"Hadir dari SD Negeri 5 Bungbulang, Kabupaten Garut.",Dari sdn 5 Bungbulang kabupaten garut hadir,2025-09-29T14:04:47Z
2025-10-05 12:18:27,Webinar Wujudkan Indonesia Damai,YouTube,https://www.youtube.com/watch?v=9n0j5l5w44c,@sitirohaini7122,Paparan dari Bapak menginspirasi pelaksanaan pembelajaran digitalisasi.,Paparan dari Bapak menginpirasi pelaksanaan pembelajaran  digitaliasi,2025-09-29T13:52:52Z
2025-10-05 12:18:27,Webinar Wujudkan Indonesia Damai,YouTube,https://www.youtube.com/watch?v=9n0j5l5w44c,@maulidapasaman9912,Maulida Hazni dari Sekolah Dasar Negeri 17 Sungai Aur hadir dan menyimak dari tautan yang Anda berikan.,Maulida Hazni dari SD N 17 SUNGAI AUR hadir & menyimak dari link yuo tobe...🖐😊,2025-09-29T13:45:58Z
